,index,month,year,Total_Schedules,date
1976,1976,August,2018,2,August 2018
1998,1998,August,2018,1,August 2018
2007,2007,August,2018,1,August 2018
2009,2009,August,2018,1,August 2018
2019,2019,August,2018,2,August 2018
2021,2021,August,2018,1,August 2018
2033,2033,August,2018,1,August 2018
2048,2048,August,2018,1,August 2018
2053,2053,August,2018,1,August 2018
2064,2064,August,2018,2,August 2018
2080,2080,August,2018,1,August 2018
2083,2083,August,2018,1,August 2018
2098,2098,August,2018,1,August 2018
2106,2106,August,2018,1,August 2018
2124,2124,August,2018,1,August 2018
2134,2134,August,2018,1,August 2018
2136,2136,August,2018,1,August 2018
2138,2138,August,2018,1,August 2018
2140,2140,August,2018,1,August 2018
2150,2150,August,2018,1,August 2018
2155,2155,August,2018,1,August 2018
2156,2156,August,2018,4,August 2018
2175,2175,August,2018,3,August 2018
2180,2180,August,2018,1,August 2018
2184,2184,August,2018,2,August 2018
2213,2213,August,2018,1,August 2018
2214,2214,August,2018,3,August 2018
2232,2232,August,2018,1,August 2018
2243,2243,August,2018,1,August 2018
2298,2298,August,2018,1,August 2018
2302,2302,August,2018,4,August 2018
2303,2303,August,2018,3,August 2018
2321,2321,August,2018,4,August 2018
2325,2325,August,2018,1,August 2018
2330,2330,August,2018,1,August 2018
2344,2344,August,2018,2,August 2018
2346,2346,August,2018,2,August 2018
2375,2375,August,2018,1,August 2018
2392,2392,August,2018,1,August 2018
2400,2400,August,2018,1,August 2018
2401,2401,August,2018,1,August 2018
2405,2405,August,2018,2,August 2018
2415,2415,August,2018,2,August 2018
2431,2431,August,2018,1,August 2018
2437,2437,August,2018,1,August 2018
2449,2449,August,2018,2,August 2018
2451,2451,August,2018,1,August 2018
2458,2458,August,2018,1,August 2018
2459,2459,August,2018,1,August 2018
2465,2465,August,2018,1,August 2018
2477,2477,August,2018,1,August 2018
2478,2478,August,2018,2,August 2018
2480,2480,August,2018,1,August 2018
2487,2487,August,2018,2,August 2018
2491,2491,August,2018,2,August 2018
2495,2495,August,2018,1,August 2018
2508,2508,August,2018,1,August 2018
2518,2518,August,2018,1,August 2018
2543,2543,August,2018,1,August 2018
2556,2556,August,2018,3,August 2018
2568,2568,August,2018,1,August 2018
2582,2582,August,2018,1,August 2018
2611,2611,August,2018,4,August 2018
2631,2631,August,2018,1,August 2018
2634,2634,August,2018,1,August 2018
2641,2641,August,2018,1,August 2018
2648,2648,August,2018,1,August 2018
2667,2667,August,2018,1,August 2018
2668,2668,August,2018,2,August 2018
2681,2681,August,2018,1,August 2018
2685,2685,August,2018,2,August 2018
2688,2688,August,2018,1,August 2018
2707,2707,August,2018,1,August 2018
2712,2712,August,2018,3,August 2018
2735,2735,August,2018,3,August 2018
2739,2739,August,2018,1,August 2018
2794,2794,August,2018,1,August 2018
2817,2817,August,2018,2,August 2018
2827,2827,August,2018,1,August 2018
2831,2831,August,2018,1,August 2018
2841,2841,August,2018,1,August 2018
2867,2867,August,2018,1,August 2018
2870,2870,August,2018,1,August 2018
2884,2884,August,2018,1,August 2018
2890,2890,August,2018,1,August 2018
2891,2891,August,2018,1,August 2018
2898,2898,August,2018,1,August 2018
2905,2905,August,2018,1,August 2018
2907,2907,August,2018,1,August 2018
2908,2908,August,2018,2,August 2018
2927,2927,August,2018,1,August 2018
2941,2941,August,2018,1,August 2018
2944,2944,August,2018,2,August 2018
2957,2957,August,2018,1,August 2018
2960,2960,August,2018,1,August 2018
2962,2962,August,2018,1,August 2018
2978,2978,August,2018,1,August 2018
2989,2989,August,2018,1,August 2018
2993,2993,August,2018,1,August 2018
2995,2995,August,2018,3,August 2018
3009,3009,August,2018,1,August 2018
3013,3013,August,2018,1,August 2018
3014,3014,August,2018,1,August 2018
3017,3017,August,2018,1,August 2018
3054,3054,August,2018,1,August 2018
3056,3056,August,2018,2,August 2018
3081,3081,August,2018,1,August 2018
3087,3087,August,2018,1,August 2018
3090,3090,August,2018,1,August 2018
3096,3096,August,2018,1,August 2018
3108,3108,August,2018,1,August 2018
3112,3112,August,2018,1,August 2018
3125,3125,August,2018,2,August 2018
3133,3133,August,2018,1,August 2018
3135,3135,August,2018,1,August 2018
3144,3144,August,2018,1,August 2018
3146,3146,August,2018,2,August 2018
3147,3147,August,2018,1,August 2018
3158,3158,August,2018,2,August 2018
3186,3186,August,2018,2,August 2018
3225,3225,August,2018,1,August 2018
3228,3228,August,2018,2,August 2018
3232,3232,August,2018,1,August 2018
3237,3237,August,2018,4,August 2018
3241,3241,August,2018,1,August 2018
3245,3245,August,2018,2,August 2018
3248,3248,August,2018,1,August 2018
3257,3257,August,2018,2,August 2018
3262,3262,August,2018,2,August 2018
3269,3269,August,2018,1,August 2018
3278,3278,August,2018,1,August 2018
3281,3281,August,2018,2,August 2018
3294,3294,August,2018,1,August 2018
3301,3301,August,2018,1,August 2018
3302,3302,August,2018,1,August 2018
3313,3313,August,2018,2,August 2018
3317,3317,August,2018,1,August 2018
3337,3337,August,2018,1,August 2018
3341,3341,August,2018,2,August 2018
3345,3345,August,2018,1,August 2018
3353,3353,August,2018,2,August 2018
3368,3368,August,2018,1,August 2018
3369,3369,August,2018,1,August 2018
3370,3370,August,2018,1,August 2018
3376,3376,August,2018,1,August 2018
3394,3394,August,2018,1,August 2018
3397,3397,August,2018,1,August 2018
3414,3414,August,2018,2,August 2018
3444,3444,August,2018,1,August 2018
3452,3452,August,2018,1,August 2018
3464,3464,August,2018,1,August 2018
3480,3480,August,2018,1,August 2018
3496,3496,August,2018,1,August 2018
3505,3505,August,2018,1,August 2018
3522,3522,August,2018,1,August 2018
3552,3552,August,2018,1,August 2018
3572,3572,August,2018,1,August 2018
3575,3575,August,2018,1,August 2018
3582,3582,August,2018,1,August 2018
3588,3588,August,2018,1,August 2018
3611,3611,August,2018,1,August 2018
3619,3619,August,2018,2,August 2018
3623,3623,August,2018,1,August 2018
3635,3635,August,2018,1,August 2018
3642,3642,August,2018,1,August 2018
3658,3658,August,2018,1,August 2018
3661,3661,August,2018,1,August 2018
3670,3670,August,2018,2,August 2018
3675,3675,August,2018,1,August 2018
3677,3677,August,2018,1,August 2018
3683,3683,August,2018,1,August 2018
3700,3700,August,2018,1,August 2018
3704,3704,August,2018,1,August 2018
3715,3715,August,2018,1,August 2018
3716,3716,August,2018,1,August 2018
3717,3717,August,2018,1,August 2018
3722,3722,August,2018,1,August 2018
3744,3744,August,2018,1,August 2018
3745,3745,August,2018,1,August 2018
3755,3755,August,2018,1,August 2018
3802,3802,August,2018,1,August 2018
3838,3838,August,2018,1,August 2018
3841,3841,August,2018,2,August 2018
3847,3847,August,2018,1,August 2018
3850,3850,August,2018,1,August 2018
3859,3859,August,2018,1,August 2018
3863,3863,August,2018,1,August 2018
3867,3867,August,2018,1,August 2018
3878,3878,August,2018,1,August 2018
3894,3894,August,2018,1,August 2018
3920,3920,August,2018,1,August 2018
3940,3940,August,2018,2,August 2018
3949,3949,August,2018,1,August 2018
3980,3980,August,2018,1,August 2018
3985,3985,August,2018,1,August 2018
3994,3994,August,2018,1,August 2018
3998,3998,August,2018,2,August 2018
4006,4006,August,2018,1,August 2018
4020,4020,August,2018,1,August 2018
4022,4022,August,2018,1,August 2018
4028,4028,August,2018,2,August 2018
4034,4034,August,2018,1,August 2018
4035,4035,August,2018,1,August 2018
4041,4041,August,2018,2,August 2018
4043,4043,August,2018,2,August 2018
4052,4052,August,2018,1,August 2018
4055,4055,August,2018,1,August 2018
4075,4075,August,2018,1,August 2018
4076,4076,August,2018,1,August 2018
4080,4080,August,2018,1,August 2018
4086,4086,August,2018,1,August 2018
4092,4092,August,2018,1,August 2018
4094,4094,August,2018,1,August 2018
4097,4097,August,2018,2,August 2018
4098,4098,August,2018,1,August 2018
4099,4099,August,2018,1,August 2018
4100,4100,August,2018,1,August 2018
4103,4103,August,2018,1,August 2018
4120,4120,August,2018,1,August 2018
4131,4131,August,2018,1,August 2018
4145,4145,August,2018,1,August 2018
4182,4182,August,2018,1,August 2018
4190,4190,August,2018,1,August 2018
4191,4191,August,2018,2,August 2018
4195,4195,August,2018,2,August 2018
4196,4196,August,2018,1,August 2018
4205,4205,August,2018,1,August 2018
4209,4209,August,2018,2,August 2018
4210,4210,August,2018,1,August 2018
4212,4212,August,2018,1,August 2018
4233,4233,August,2018,2,August 2018
4236,4236,August,2018,1,August 2018
4238,4238,August,2018,1,August 2018
4260,4260,August,2018,1,August 2018
4264,4264,August,2018,1,August 2018
4276,4276,August,2018,1,August 2018
4277,4277,August,2018,1,August 2018
4298,4298,August,2018,1,August 2018
4299,4299,August,2018,1,August 2018
4305,4305,August,2018,2,August 2018
4312,4312,August,2018,2,August 2018
4313,4313,August,2018,1,August 2018
4341,4341,August,2018,1,August 2018
4342,4342,August,2018,2,August 2018
4348,4348,August,2018,1,August 2018
4360,4360,August,2018,2,August 2018
4373,4373,August,2018,1,August 2018
4388,4388,August,2018,1,August 2018
4389,4389,August,2018,1,August 2018
4391,4391,August,2018,1,August 2018
4432,4432,August,2018,1,August 2018
4440,4440,August,2018,1,August 2018
4441,4441,August,2018,1,August 2018
4442,4442,August,2018,1,August 2018
4443,4443,August,2018,1,August 2018
4447,4447,August,2018,1,August 2018
4449,4449,August,2018,1,August 2018
4461,4461,August,2018,1,August 2018
4466,4466,August,2018,1,August 2018
4485,4485,August,2018,1,August 2018
4511,4511,August,2018,1,August 2018
4520,4520,August,2018,2,August 2018
4543,4543,August,2018,1,August 2018
4551,4551,August,2018,1,August 2018
4556,4556,August,2018,2,August 2018
4557,4557,August,2018,1,August 2018
4572,4572,August,2018,2,August 2018
4577,4577,August,2018,1,August 2018
4581,4581,August,2018,2,August 2018
4585,4585,August,2018,1,August 2018
4617,4617,August,2018,1,August 2018
4622,4622,August,2018,1,August 2018
4645,4645,August,2018,1,August 2018
4665,4665,August,2018,1,August 2018
4667,4667,August,2018,1,August 2018
4672,4672,August,2018,1,August 2018
4692,4692,August,2018,1,August 2018
4704,4704,August,2018,1,August 2018
4752,4752,August,2018,1,August 2018
4771,4771,August,2018,1,August 2018
4776,4776,August,2018,1,August 2018
4787,4787,August,2018,1,August 2018
4792,4792,August,2018,1,August 2018
4842,4842,August,2018,2,August 2018
4864,4864,August,2018,1,August 2018
4891,4891,August,2018,1,August 2018
4894,4894,August,2018,1,August 2018
4921,4921,August,2018,1,August 2018
4945,4945,August,2018,1,August 2018
4953,4953,August,2018,1,August 2018
4968,4968,August,2018,1,August 2018
4978,4978,August,2018,1,August 2018
4990,4990,August,2018,1,August 2018
4998,4998,August,2018,1,August 2018
4999,4999,August,2018,2,August 2018
5000,5000,August,2018,1,August 2018
5004,5004,August,2018,1,August 2018
5024,5024,August,2018,1,August 2018
5030,5030,August,2018,1,August 2018
5034,5034,August,2018,1,August 2018
5039,5039,August,2018,1,August 2018
5043,5043,August,2018,1,August 2018
5063,5063,August,2018,1,August 2018
5068,5068,August,2018,1,August 2018
5070,5070,August,2018,1,August 2018
5073,5073,August,2018,1,August 2018
5074,5074,August,2018,1,August 2018
5078,5078,August,2018,1,August 2018
5080,5080,August,2018,1,August 2018
5091,5091,August,2018,1,August 2018
5112,5112,August,2018,1,August 2018
5116,5116,August,2018,1,August 2018
5120,5120,August,2018,1,August 2018
5142,5142,August,2018,1,August 2018
5148,5148,August,2018,2,August 2018
5156,5156,August,2018,2,August 2018
5158,5158,August,2018,1,August 2018
5160,5160,August,2018,1,August 2018
5167,5167,August,2018,1,August 2018
5168,5168,August,2018,1,August 2018
5174,5174,August,2018,1,August 2018
5200,5200,August,2018,1,August 2018
5208,5208,August,2018,1,August 2018
5209,5209,August,2018,1,August 2018
5214,5214,August,2018,1,August 2018
5222,5222,August,2018,1,August 2018
5224,5224,August,2018,1,August 2018
5228,5228,August,2018,1,August 2018
5229,5229,August,2018,1,August 2018
5250,5250,August,2018,1,August 2018
5254,5254,August,2018,1,August 2018
5259,5259,August,2018,1,August 2018
5263,5263,August,2018,1,August 2018
5274,5274,August,2018,1,August 2018
5292,5292,August,2018,1,August 2018
5294,5294,August,2018,1,August 2018
5302,5302,August,2018,1,August 2018
5308,5308,August,2018,1,August 2018
5314,5314,August,2018,2,August 2018
5318,5318,August,2018,1,August 2018
5325,5325,August,2018,1,August 2018
5331,5331,August,2018,1,August 2018
5378,5378,August,2018,1,August 2018
5381,5381,August,2018,1,August 2018
5383,5383,August,2018,1,August 2018
5392,5392,August,2018,1,August 2018
5408,5408,August,2018,1,August 2018
5411,5411,August,2018,1,August 2018
5413,5413,August,2018,1,August 2018
5420,5420,August,2018,1,August 2018
5426,5426,August,2018,1,August 2018
5433,5433,August,2018,1,August 2018
5438,5438,August,2018,1,August 2018
5460,5460,August,2018,1,August 2018
5472,5472,August,2018,1,August 2018
5477,5477,August,2018,1,August 2018
5478,5478,August,2018,1,August 2018
5480,5480,August,2018,1,August 2018
5482,5482,August,2018,1,August 2018
5487,5487,August,2018,1,August 2018
5491,5491,August,2018,1,August 2018
5503,5503,August,2018,1,August 2018
5505,5505,August,2018,1,August 2018
5510,5510,August,2018,3,August 2018
5513,5513,August,2018,1,August 2018
5521,5521,August,2018,1,August 2018
5524,5524,August,2018,1,August 2018
5532,5532,August,2018,1,August 2018
5553,5553,August,2018,1,August 2018
5564,5564,August,2018,1,August 2018
5565,5565,August,2018,1,August 2018
5573,5573,August,2018,1,August 2018
5575,5575,August,2018,1,August 2018
5581,5581,August,2018,1,August 2018
5582,5582,August,2018,1,August 2018
5597,5597,August,2018,1,August 2018
5600,5600,August,2018,1,August 2018
5643,5643,August,2018,1,August 2018
5649,5649,August,2018,1,August 2018
5655,5655,August,2018,1,August 2018
5671,5671,August,2018,1,August 2018
5689,5689,August,2018,1,August 2018
5703,5703,August,2018,1,August 2018
5719,5719,August,2018,1,August 2018
5723,5723,August,2018,1,August 2018
5737,5737,August,2018,1,August 2018
5738,5738,August,2018,1,August 2018
5739,5739,August,2018,1,August 2018
5748,5748,August,2018,1,August 2018
5756,5756,August,2018,1,August 2018
5759,5759,August,2018,1,August 2018
5769,5769,August,2018,2,August 2018
5785,5785,August,2018,1,August 2018
5791,5791,August,2018,1,August 2018
5793,5793,August,2018,1,August 2018
5794,5794,August,2018,1,August 2018
5800,5800,August,2018,1,August 2018
205,205,September,2018,1,September 2018
236,236,September,2018,1,September 2018
255,255,September,2018,1,September 2018
265,265,September,2018,2,September 2018
291,291,September,2018,1,September 2018
330,330,September,2018,1,September 2018
395,395,September,2018,1,September 2018
399,399,September,2018,1,September 2018
433,433,September,2018,1,September 2018
434,434,September,2018,1,September 2018
458,458,September,2018,1,September 2018
493,493,September,2018,1,September 2018
542,542,September,2018,1,September 2018
615,615,September,2018,1,September 2018
667,667,September,2018,1,September 2018
691,691,September,2018,2,September 2018
697,697,September,2018,1,September 2018
733,733,September,2018,1,September 2018
739,739,September,2018,2,September 2018
823,823,September,2018,2,September 2018
845,845,September,2018,1,September 2018
866,866,September,2018,1,September 2018
914,914,September,2018,1,September 2018
936,936,September,2018,1,September 2018
1019,1019,September,2018,1,September 2018
1156,1156,September,2018,1,September 2018
1207,1207,September,2018,3,September 2018
1426,1426,September,2018,1,September 2018
1427,1427,September,2018,1,September 2018
1428,1428,September,2018,1,September 2018
1429,1429,September,2018,1,September 2018
1430,1430,September,2018,1,September 2018
1431,1431,September,2018,1,September 2018
1513,1513,September,2018,1,September 2018
1562,1562,September,2018,1,September 2018
1608,1608,September,2018,1,September 2018
1621,1621,September,2018,1,September 2018
1683,1683,September,2018,1,September 2018
1733,1733,September,2018,1,September 2018
1917,1917,September,2018,1,September 2018
1933,1933,September,2018,4,September 2018
1934,1934,September,2018,3,September 2018
2054,2054,September,2018,1,September 2018
2087,2087,September,2018,1,September 2018
2115,2115,September,2018,1,September 2018
2165,2165,September,2018,2,September 2018
2168,2168,September,2018,1,September 2018
2394,2394,September,2018,1,September 2018
2453,2453,September,2018,1,September 2018
2463,2463,September,2018,1,September 2018
2490,2490,September,2018,1,September 2018
2504,2504,September,2018,1,September 2018
2683,2683,September,2018,1,September 2018
2701,2701,September,2018,1,September 2018
2865,2865,September,2018,1,September 2018
2888,2888,September,2018,1,September 2018
2943,2943,September,2018,1,September 2018
3003,3003,September,2018,1,September 2018
3007,3007,September,2018,1,September 2018
3126,3126,September,2018,1,September 2018
3161,3161,September,2018,1,September 2018
3162,3162,September,2018,1,September 2018
3163,3163,September,2018,2,September 2018
3212,3212,September,2018,1,September 2018
3218,3218,September,2018,1,September 2018
3222,3222,September,2018,1,September 2018
3236,3236,September,2018,1,September 2018
3279,3279,September,2018,1,September 2018
3387,3387,September,2018,1,September 2018
3462,3462,September,2018,1,September 2018
3466,3466,September,2018,1,September 2018
3559,3559,September,2018,1,September 2018
3567,3567,September,2018,1,September 2018
3578,3578,September,2018,1,September 2018
3580,3580,September,2018,2,September 2018
3595,3595,September,2018,1,September 2018
3674,3674,September,2018,2,September 2018
3738,3738,September,2018,1,September 2018
3739,3739,September,2018,1,September 2018
3837,3837,September,2018,1,September 2018
4037,4037,September,2018,1,September 2018
4046,4046,September,2018,1,September 2018
4061,4061,September,2018,1,September 2018
4065,4065,September,2018,1,September 2018
4081,4081,September,2018,1,September 2018
4115,4115,September,2018,1,September 2018
4232,4232,September,2018,1,September 2018
4280,4280,September,2018,1,September 2018
4290,4290,September,2018,1,September 2018
4451,4451,September,2018,1,September 2018
4455,4455,September,2018,1,September 2018
4456,4456,September,2018,1,September 2018
4472,4472,September,2018,1,September 2018
4473,4473,September,2018,1,September 2018
4521,4521,September,2018,1,September 2018
4535,4535,September,2018,1,September 2018
4583,4583,September,2018,1,September 2018
4611,4611,September,2018,1,September 2018
4623,4623,September,2018,1,September 2018
4636,4636,September,2018,1,September 2018
4741,4741,September,2018,1,September 2018
4750,4750,September,2018,1,September 2018
4753,4753,September,2018,1,September 2018
4759,4759,September,2018,1,September 2018
4795,4795,September,2018,1,September 2018
4886,4886,September,2018,1,September 2018
4897,4897,September,2018,1,September 2018
4935,4935,September,2018,1,September 2018
4965,4965,September,2018,1,September 2018
4976,4976,September,2018,1,September 2018
4993,4993,September,2018,1,September 2018
5099,5099,September,2018,1,September 2018
5143,5143,September,2018,1,September 2018
5196,5196,September,2018,1,September 2018
5236,5236,September,2018,1,September 2018
5288,5288,September,2018,1,September 2018
5387,5387,September,2018,1,September 2018
5390,5390,September,2018,1,September 2018
5435,5435,September,2018,1,September 2018
5566,5566,September,2018,1,September 2018
5665,5665,September,2018,1,September 2018
5683,5683,September,2018,1,September 2018
5720,5720,September,2018,1,September 2018
17,17,October,2018,1,October 2018
37,37,October,2018,3,October 2018
46,46,October,2018,1,October 2018
220,220,October,2018,2,October 2018
250,250,October,2018,1,October 2018
358,358,October,2018,1,October 2018
396,396,October,2018,2,October 2018
422,422,October,2018,1,October 2018
525,525,October,2018,2,October 2018
546,546,October,2018,3,October 2018
575,575,October,2018,1,October 2018
592,592,October,2018,3,October 2018
692,692,October,2018,1,October 2018
710,710,October,2018,2,October 2018
747,747,October,2018,1,October 2018
799,799,October,2018,2,October 2018
836,836,October,2018,1,October 2018
864,864,October,2018,2,October 2018
904,904,October,2018,2,October 2018
982,982,October,2018,1,October 2018
1046,1046,October,2018,2,October 2018
1191,1191,October,2018,1,October 2018
1281,1281,October,2018,1,October 2018
1422,1422,October,2018,1,October 2018
1480,1480,October,2018,2,October 2018
1481,1481,October,2018,1,October 2018
1510,1510,October,2018,2,October 2018
1550,1550,October,2018,1,October 2018
1568,1568,October,2018,1,October 2018
1590,1590,October,2018,1,October 2018
1615,1615,October,2018,1,October 2018
1652,1652,October,2018,1,October 2018
1658,1658,October,2018,1,October 2018
1659,1659,October,2018,1,October 2018
1679,1679,October,2018,1,October 2018
1705,1705,October,2018,1,October 2018
1725,1725,October,2018,1,October 2018
1775,1775,October,2018,1,October 2018
1809,1809,October,2018,1,October 2018
1822,1822,October,2018,1,October 2018
1843,1843,October,2018,1,October 2018
1856,1856,October,2018,2,October 2018
1861,1861,October,2018,1,October 2018
1928,1928,October,2018,3,October 2018
2001,2001,October,2018,1,October 2018
2074,2074,October,2018,1,October 2018
2173,2173,October,2018,1,October 2018
2211,2211,October,2018,1,October 2018
2256,2256,October,2018,1,October 2018
2269,2269,October,2018,1,October 2018
2317,2317,October,2018,1,October 2018
2347,2347,October,2018,1,October 2018
2367,2367,October,2018,1,October 2018
2374,2374,October,2018,1,October 2018
2411,2411,October,2018,1,October 2018
2501,2501,October,2018,3,October 2018
2514,2514,October,2018,1,October 2018
2546,2546,October,2018,1,October 2018
2563,2563,October,2018,3,October 2018
2588,2588,October,2018,1,October 2018
2650,2650,October,2018,1,October 2018
2658,2658,October,2018,1,October 2018
2666,2666,October,2018,2,October 2018
2680,2680,October,2018,1,October 2018
2689,2689,October,2018,1,October 2018
2716,2716,October,2018,1,October 2018
2725,2725,October,2018,2,October 2018
2737,2737,October,2018,2,October 2018
2785,2785,October,2018,1,October 2018
2792,2792,October,2018,1,October 2018
2802,2802,October,2018,1,October 2018
2803,2803,October,2018,2,October 2018
2811,2811,October,2018,3,October 2018
2812,2812,October,2018,1,October 2018
2844,2844,October,2018,1,October 2018
2912,2912,October,2018,1,October 2018
2938,2938,October,2018,2,October 2018
2958,2958,October,2018,1,October 2018
3024,3024,October,2018,1,October 2018
3055,3055,October,2018,1,October 2018
3102,3102,October,2018,1,October 2018
3140,3140,October,2018,1,October 2018
3145,3145,October,2018,1,October 2018
3238,3238,October,2018,1,October 2018
3290,3290,October,2018,1,October 2018
3310,3310,October,2018,1,October 2018
3329,3329,October,2018,1,October 2018
3378,3378,October,2018,1,October 2018
3388,3388,October,2018,2,October 2018
3406,3406,October,2018,1,October 2018
3417,3417,October,2018,1,October 2018
3432,3432,October,2018,1,October 2018
3433,3433,October,2018,2,October 2018
3459,3459,October,2018,2,October 2018
3477,3477,October,2018,1,October 2018
3513,3513,October,2018,1,October 2018
3547,3547,October,2018,5,October 2018
3548,3548,October,2018,2,October 2018
3549,3549,October,2018,1,October 2018
3609,3609,October,2018,1,October 2018
3662,3662,October,2018,2,October 2018
3679,3679,October,2018,1,October 2018
3737,3737,October,2018,1,October 2018
3825,3825,October,2018,1,October 2018
3921,3921,October,2018,1,October 2018
3951,3951,October,2018,1,October 2018
3991,3991,October,2018,2,October 2018
4038,4038,October,2018,1,October 2018
4104,4104,October,2018,1,October 2018
4143,4143,October,2018,1,October 2018
4217,4217,October,2018,1,October 2018
4237,4237,October,2018,1,October 2018
4284,4284,October,2018,1,October 2018
4296,4296,October,2018,1,October 2018
4319,4319,October,2018,1,October 2018
4355,4355,October,2018,1,October 2018
4434,4434,October,2018,1,October 2018
4515,4515,October,2018,1,October 2018
4518,4518,October,2018,1,October 2018
4565,4565,October,2018,2,October 2018
4599,4599,October,2018,1,October 2018
4646,4646,October,2018,1,October 2018
4710,4710,October,2018,1,October 2018
4717,4717,October,2018,1,October 2018
4761,4761,October,2018,1,October 2018
4807,4807,October,2018,1,October 2018
4820,4820,October,2018,1,October 2018
4839,4839,October,2018,1,October 2018
4932,4932,October,2018,1,October 2018
4954,4954,October,2018,1,October 2018
4985,4985,October,2018,1,October 2018
5025,5025,October,2018,1,October 2018
5059,5059,October,2018,1,October 2018
5062,5062,October,2018,1,October 2018
5149,5149,October,2018,1,October 2018
5176,5176,October,2018,1,October 2018
5207,5207,October,2018,1,October 2018
5286,5286,October,2018,1,October 2018
5319,5319,October,2018,1,October 2018
5412,5412,October,2018,1,October 2018
5416,5416,October,2018,1,October 2018
5421,5421,October,2018,1,October 2018
5423,5423,October,2018,1,October 2018
5466,5466,October,2018,2,October 2018
5467,5467,October,2018,1,October 2018
5485,5485,October,2018,1,October 2018
5486,5486,October,2018,2,October 2018
5490,5490,October,2018,1,October 2018
5498,5498,October,2018,1,October 2018
5511,5511,October,2018,1,October 2018
5614,5614,October,2018,1,October 2018
30,30,November,2018,1,November 2018
34,34,November,2018,1,November 2018
92,92,November,2018,1,November 2018
168,168,November,2018,1,November 2018
172,172,November,2018,1,November 2018
221,221,November,2018,2,November 2018
254,254,November,2018,1,November 2018
281,281,November,2018,1,November 2018
329,329,November,2018,2,November 2018
342,342,November,2018,2,November 2018
353,353,November,2018,3,November 2018
363,363,November,2018,1,November 2018
364,364,November,2018,1,November 2018
426,426,November,2018,1,November 2018
476,476,November,2018,3,November 2018
518,518,November,2018,1,November 2018
614,614,November,2018,3,November 2018
651,651,November,2018,2,November 2018
719,719,November,2018,1,November 2018
724,724,November,2018,1,November 2018
843,843,November,2018,1,November 2018
849,849,November,2018,1,November 2018
872,872,November,2018,1,November 2018
889,889,November,2018,1,November 2018
905,905,November,2018,3,November 2018
916,916,November,2018,1,November 2018
924,924,November,2018,1,November 2018
992,992,November,2018,1,November 2018
1020,1020,November,2018,1,November 2018
1063,1063,November,2018,2,November 2018
1084,1084,November,2018,1,November 2018
1134,1134,November,2018,1,November 2018
1203,1203,November,2018,1,November 2018
1209,1209,November,2018,1,November 2018
1230,1230,November,2018,2,November 2018
1270,1270,November,2018,1,November 2018
1371,1371,November,2018,1,November 2018
1388,1388,November,2018,6,November 2018
1421,1421,November,2018,1,November 2018
1460,1460,November,2018,1,November 2018
1462,1462,November,2018,2,November 2018
1466,1466,November,2018,1,November 2018
1506,1506,November,2018,3,November 2018
1538,1538,November,2018,2,November 2018
1589,1589,November,2018,3,November 2018
1699,1699,November,2018,1,November 2018
1770,1770,November,2018,1,November 2018
1841,1841,November,2018,1,November 2018
1847,1847,November,2018,1,November 2018
1854,1854,November,2018,1,November 2018
1872,1872,November,2018,1,November 2018
1892,1892,November,2018,1,November 2018
1907,1907,November,2018,1,November 2018
1972,1972,November,2018,1,November 2018
2171,2171,November,2018,1,November 2018
2176,2176,November,2018,1,November 2018
2202,2202,November,2018,1,November 2018
2210,2210,November,2018,1,November 2018
2252,2252,November,2018,1,November 2018
2253,2253,November,2018,2,November 2018
2259,2259,November,2018,2,November 2018
2268,2268,November,2018,1,November 2018
2314,2314,November,2018,2,November 2018
2493,2493,November,2018,3,November 2018
2502,2502,November,2018,3,November 2018
2512,2512,November,2018,1,November 2018
2513,2513,November,2018,1,November 2018
2548,2548,November,2018,3,November 2018
2562,2562,November,2018,1,November 2018
2605,2605,November,2018,2,November 2018
2633,2633,November,2018,1,November 2018
2637,2637,November,2018,1,November 2018
2639,2639,November,2018,1,November 2018
2774,2774,November,2018,1,November 2018
2780,2780,November,2018,1,November 2018
2793,2793,November,2018,1,November 2018
2798,2798,November,2018,4,November 2018
2920,2920,November,2018,2,November 2018
2975,2975,November,2018,1,November 2018
3057,3057,November,2018,1,November 2018
3118,3118,November,2018,1,November 2018
3132,3132,November,2018,1,November 2018
3167,3167,November,2018,1,November 2018
3286,3286,November,2018,1,November 2018
3289,3289,November,2018,1,November 2018
3361,3361,November,2018,1,November 2018
3440,3440,November,2018,1,November 2018
3447,3447,November,2018,3,November 2018
3490,3490,November,2018,1,November 2018
3525,3525,November,2018,1,November 2018
3571,3571,November,2018,1,November 2018
3574,3574,November,2018,1,November 2018
3652,3652,November,2018,2,November 2018
3657,3657,November,2018,2,November 2018
3678,3678,November,2018,1,November 2018
3725,3725,November,2018,1,November 2018
3770,3770,November,2018,1,November 2018
3795,3795,November,2018,3,November 2018
3824,3824,November,2018,3,November 2018
3827,3827,November,2018,2,November 2018
3828,3828,November,2018,2,November 2018
3851,3851,November,2018,2,November 2018
3968,3968,November,2018,1,November 2018
3979,3979,November,2018,1,November 2018
4012,4012,November,2018,1,November 2018
4040,4040,November,2018,1,November 2018
4069,4069,November,2018,1,November 2018
4105,4105,November,2018,1,November 2018
4172,4172,November,2018,1,November 2018
4179,4179,November,2018,1,November 2018
4215,4215,November,2018,1,November 2018
4301,4301,November,2018,1,November 2018
4302,4302,November,2018,2,November 2018
